['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:25:36, 305, opp/conj: 6', 'sqr/tri/sext: 4', 'major: 10', 'minor: 15']
['20:25:44, 332, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 15']
['20:25:52, 283, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 11']
['20:26:00, 260, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 9']
['20:26:07, 244, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 9']
['20:26:15, 272, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 11']
['20:26:23, 202, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 10']
['20:26:31, 204, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 10']
['20:26:39, 186, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 10']
['20:26:47, 184, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 6']
['20:26:56, 164, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 5']
['20:27:04, 192, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 7']
['20:27:12, 190, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 6']
['20:27:20, 234, opp/conj: 1', 'sqr/tri/sext: 10', 'major: 11', 'minor: 8']
['20:27:28, 260, opp/conj: 1', 'sqr/tri/sext: 11', 'major: 12', 'minor: 9']
['20:27:36, 224, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 10']
['20:27:44, 184, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 8']
['20:27:51, 144, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 7']
['20:27:59, 162, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 8']
['20:28:07, 200, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 5']
['20:28:15, 192, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 4']
['20:28:23, 243, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 5']
['20:28:31, 213, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 4']
['20:28:39, 183, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 3']
['20:28:47, 201, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 3']
['20:28:56, 219, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 8']
['20:29:04, 251, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 9']
['20:29:12, 277, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 9']
['20:29:20, 217, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 9']
['20:29:28, 221, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 10']
['20:29:36, 287, opp/conj: 3', 'sqr/tri/sext: 11', 'major: 14', 'minor: 6']
['20:29:44, 302, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 6']
['20:29:52, 301, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 6']
['20:30:00, 271, opp/conj: 5', 'sqr/tri/sext: 8', 'major: 13', 'minor: 4']
['20:30:08, 301, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 4']
['20:30:16, 268, opp/conj: 5', 'sqr/tri/sext: 8', 'major: 13', 'minor: 5']
['20:30:24, 332, opp/conj: 5', 'sqr/tri/sext: 11', 'major: 16', 'minor: 8']
['20:30:32, 266, opp/conj: 6', 'sqr/tri/sext: 7', 'major: 13', 'minor: 6']
['20:30:40, 262, opp/conj: 6', 'sqr/tri/sext: 6', 'major: 12', 'minor: 7']
['20:30:48, 294, opp/conj: 6', 'sqr/tri/sext: 7', 'major: 13', 'minor: 9']
['20:30:56, 321, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 11']
['20:31:04, 357, opp/conj: 5', 'sqr/tri/sext: 11', 'major: 16', 'minor: 11']
['20:31:12, 317, opp/conj: 5', 'sqr/tri/sext: 8', 'major: 13', 'minor: 11']
['20:31:20, 387, opp/conj: 5', 'sqr/tri/sext: 12', 'major: 17', 'minor: 11']
['20:31:28, 407, opp/conj: 6', 'sqr/tri/sext: 13', 'major: 19', 'minor: 10']
['20:31:36, 330, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 11']
['20:31:44, 275, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 11']
['20:31:52, 318, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 12']
['20:32:00, 272, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 12']
['20:32:08, 312, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 14']
