Row 123: {'time': '2000-03-11 09:36:47', 'p_a_conj': 9, 'p_a_maj': 27, 'p_a_allm': 36, 'p_a_min': 27, 'e': 1, 'all_conj': 9}
Row 124: {'time': '2000-03-11 14:19:36', 'p_a_conj': 7, 'p_a_maj': 22, 'p_a_allm': 29, 'p_a_min': 38, 'e': 0, 'all_conj': 7}
Row 125: {'time': '2000-03-11 12:12:56', 'p_a_conj': 9, 'p_a_maj': 27, 'p_a_allm': 36, 'p_a_min': 28, 'e': 0, 'all_conj': 9}
Row 126: {'time': '2000-03-11 14:38:47', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_allm': 22, 'p_a_min': 32, 'e': 3, 'all_conj': 7}
Row 127: {'time': '2000-03-11 15:08:31', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_allm': 24, 'p_a_min': 38, 'e': 2, 'all_conj': 6}
Row 128: {'time': '2000-03-11 09:17:36', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_allm': 21, 'p_a_min': 30, 'e': 1, 'all_conj': 4}
Row 129: {'time': '2000-03-11 14:55:36', 'p_a_conj': 7, 'p_a_maj': 24, 'p_a_allm': 31, 'p_a_min': 38, 'e': 0, 'all_conj': 7}
Row 130: {'time': '2000-03-11 08:18:08', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_allm': 30, 'p_a_min': 29, 'e': 1, 'all_conj': 7}
Row 131: {'time': '2000-03-11 10:33:27', 'p_a_conj': 6, 'p_a_maj': 13, 'p_a_allm': 19, 'p_a_min': 28, 'e': 1, 'all_conj': 6}
Row 132: {'time': '2000-03-11 08:42:32', 'p_a_conj': 9, 'p_a_maj': 23, 'p_a_allm': 32, 'p_a_min': 36, 'e': 1, 'all_conj': 9}
Row 133: {'time': '2000-03-11 07:31:43', 'p_a_conj': 8, 'p_a_maj': 19, 'p_a_allm': 27, 'p_a_min': 32, 'e': 0, 'all_conj': 8}
Row 134: {'time': '2000-03-11 15:15:27', 'p_a_conj': 2, 'p_a_maj': 23, 'p_a_allm': 25, 'p_a_min': 27, 'e': 0, 'all_conj': 2}
Row 135: {'time': '2000-03-11 15:20:08', 'p_a_conj': 9, 'p_a_maj': 22, 'p_a_allm': 31, 'p_a_min': 23, 'e': 1, 'all_conj': 9}
Row 136: {'time': '2000-03-11 09:11:36', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_allm': 22, 'p_a_min': 33, 'e': 0, 'all_conj': 5}
Row 137: {'time': '2000-03-11 13:32:47', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_allm': 28, 'p_a_min': 22, 'e': 2, 'all_conj': 6}
Row 138: {'time': '2000-03-11 09:47:04', 'p_a_conj': 11, 'p_a_maj': 19, 'p_a_allm': 30, 'p_a_min': 29, 'e': 1, 'all_conj': 11}
Row 139: {'time': '2000-03-11 07:22:07', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_allm': 20, 'p_a_min': 29, 'e': 1, 'all_conj': 5}
Row 140: {'time': '2000-03-11 11:00:47', 'p_a_conj': 11, 'p_a_maj': 17, 'p_a_allm': 28, 'p_a_min': 28, 'e': 0, 'all_conj': 11}
Row 141: {'time': '2000-03-11 13:15:19', 'p_a_conj': 7, 'p_a_maj': 25, 'p_a_allm': 32, 'p_a_min': 32, 'e': 1, 'all_conj': 7}
Row 142: {'time': '2000-03-11 15:38:15', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 28, 'e': 2, 'all_conj': 4}
Row 143: {'time': '2000-03-11 11:51:44', 'p_a_conj': 4, 'p_a_maj': 18, 'p_a_allm': 22, 'p_a_min': 24, 'e': 2, 'all_conj': 4}
Row 144: {'time': '2000-03-11 14:05:43', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 34, 'e': 0, 'all_conj': 6}
Row 145: {'time': '2000-03-11 11:45:36', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_allm': 28, 'p_a_min': 36, 'e': 0, 'all_conj': 6}
Row 146: {'time': '2000-03-11 08:32:32', 'p_a_conj': 10, 'p_a_maj': 23, 'p_a_allm': 33, 'p_a_min': 37, 'e': 0, 'all_conj': 10}
Row 147: {'time': '2000-03-11 14:53:04', 'p_a_conj': 5, 'p_a_maj': 24, 'p_a_allm': 29, 'p_a_min': 26, 'e': 0, 'all_conj': 5}
Row 148: {'time': '2000-03-11 13:53:36', 'p_a_conj': 5, 'p_a_maj': 25, 'p_a_allm': 30, 'p_a_min': 35, 'e': 2, 'all_conj': 5}
Row 149: {'time': '2000-03-11 13:06:47', 'p_a_conj': 9, 'p_a_maj': 20, 'p_a_allm': 29, 'p_a_min': 28, 'e': 1, 'all_conj': 9}
Row 150: {'time': '2000-03-11 12:41:04', 'p_a_conj': 10, 'p_a_maj': 18, 'p_a_allm': 28, 'p_a_min': 28, 'e': 1, 'all_conj': 10}
